stock_id,date,margin_bal,short_bal
00893,2026-07-23,69.0,23.0
00894,2026-07-23,532.0,21.0
00895,2026-07-23,68.0,8.0
00896,2026-07-23,1614.0,0.0
00897,2026-07-23,234.0,0.0
00898,2026-07-23,47.0,0.0
00899,2026-07-23,64.0,0.0
00900,2026-07-23,353.0,0.0
00901,2026-07-23,3.0,0.0
00902,2026-07-23,2561.0,8.0
00903,2026-07-23,20.0,0.0
00904,2026-07-23,596.0,5.0
00905,2026-07-23,454.0,0.0
00907,2026-07-23,95.0,0.0
00908,2026-07-23,1.0,0.0
00909,2026-07-23,1024.0,25.0
00910,2026-07-23,2200.0,8.0
00911,2026-07-23,178.0,0.0
00912,2026-07-23,157.0,0.0
00913,2026-07-23,1388.0,3.0
00915,2026-07-23,33.0,0.0
00916,2026-07-23,640.0,0.0
00917,2026-07-23,89.0,0.0
00918,2026-07-23,4780.0,37.0
00919,2026-07-23,7624.0,27.0
00920,2026-07-23,28.0,0.0
00921,2026-07-23,1.0,0.0
00922,2026-07-23,2928.0,1.0
00923,2026-07-23,202.0,0.0
00924,2026-07-23,140.0,0.0
00926,2026-07-23,21.0,0.0
00927,2026-07-23,15808.0,23.0
00929,2026-07-23,5814.0,12.0
00930,2026-07-23,52.0,0.0
00932,2026-07-23,72.0,0.0
00934,2026-07-23,729.0,2.0
00935,2026-07-23,5637.0,133.0
00936,2026-07-23,10.0,0.0
00938,2026-07-23,2.0,0.0
00939,2026-07-23,125.0,0.0
00940,2026-07-23,1505.0,158.0
00941,2026-07-23,239.0,1.0
00943,2026-07-23,27.0,0.0
00944,2026-07-23,7.0,0.0
00946,2026-07-23,543.0,0.0
00947,2026-07-23,5427.0,39.0
00949,2026-07-23,83.0,0.0
00951,2026-07-23,1100.0,20.0
00952,2026-07-23,655.0,0.0
00954,2026-07-23,1527.0,2.0
00956,2026-07-23,70.0,0.0
00960,2026-07-23,76.0,0.0
00961,2026-07-23,2792.0,0.0
00962,2026-07-23,33.0,0.0
00963,2026-07-23,13.0,0.0
00964,2026-07-23,70.0,0.0
00965,2026-07-23,1717.0,41.0
00971,2026-07-23,14.0,0.0
00972,2026-07-23,2.0,0.0
009800,2026-07-23,1437.0,9.0
009801,2026-07-23,20.0,0.0
009802,2026-07-23,1032.0,6.0
009803,2026-07-23,429.0,10.0
009804,2026-07-23,984.0,4.0
009805,2026-07-23,16133.0,0.0
009808,2026-07-23,14.0,0.0
009809,2026-07-23,3.0,0.0
009810,2026-07-23,2.0,0.0
009811,2026-07-23,80.0,35.0
009812,2026-07-23,2.0,0.0
009813,2026-07-23,77.0,0.0
009816,2026-07-23,31640.0,722.0
009817,2026-07-23,103.0,0.0
009818,2026-07-23,12.0,0.0
009819,2026-07-23,5229.0,39.0
009820,2026-07-23,2670.0,5.0
009821,2026-07-23,9981.0,2.0
009824,2026-07-23,2375.0,0.0
1101,2026-07-23,33210.0,48.0
1102,2026-07-23,1650.0,0.0
